7.59600 .261931 1.75000 4.35000 2.91416 .206897 .793103 .760425E-01 .103684E-01 .169831E-02 1.16416 29 6 23 2 1
12.9290 .430967 2.40000 8.70000 4.15919 .166667 .833333 .560245 .448266E-01 .103678E-01 1.75919 30 5 25 6 1
8.90000 .296667 1.90000 4.90000 3.06529 .466667 .533333 .805306E-01 .936040E-02 .147558E-02 1.16529 30 14 16 2 1
7.09500 .253393 2.25000 5.95000 3.21655 .250000 .750000 .992727E-01 .145101E-01 .180742E-02 .966546 28 7 21 1 1
9.75900 .232357 1.16667 2.30000 2.15219 .952381E-01 .904762 .525070E-01 .551160E-02 .925402E-03 .985528 42 4 38 1 1
8.00100 .228600 .416667 .583333 1.07053 .000000 1.00000 .382414E-01 .492015E-02 .933085E-03 .653863 35 0 35 2 1
7.47800 .186950 .833333 .900000 1.29447 .000000 1.00000 .497692E-01 .682607E-02 .849804E-03 .461133 40 0 40 2 1
6.40500 .188382 .800000 .960000 1.37735 .000000 1.00000 .458545E-01 .737612E-02 .124744E-02 .577350 34 0 34 2 1
8.58100 .252382 2.54167 7.20833 3.42529 .264706 .735294 .107714 .129330E-01 .115439E-02 .883627 34 9 25 3 1
8.19300 .227583 .880000 1.20000 1.54583 .277778E-01 .972222 .554333E-01 .695925E-02 .125666E-02 .665833 36 1 35 3 1
9.51300 .271800 1.62500 3.54167 2.59465 .257143 .742857 .649310E-01 .702626E-02 .109263E-02 .969648 35 9 26 1 1
9.46000 .205652 .857143 1.14286 1.50535 .000000 1.00000 .511558E-01 .552776E-02 .591088E-03 .648204 46 0 46 3 1
7.65000 .255000 1.20000 2.20000 2.09443 .133333 .866667 .534898E-01 .723324E-02 .161238E-02 .894427 30 4 26 1 1
8.12300 .232086 1.88000 4.28000 2.76129 .171429 .828571 .842241E-01 .106736E-01 .142187E-02 .881287 35 6 29 5 1
8.58900 .238583 1.60000 3.84000 2.75470 .138889 .861111 .736500E-01 .881992E-02 .137496E-02 1.15470 36 5 31 7 1
9.79500 .238902 .966667 1.70000 1.85658 .487805E-01 .951219 .499275E-01 .522468E-02 .101061E-02 .889918 41 2 39 3 1
8.05500 .230143 .920000 1.56000 1.78217 .285714E-01 .971429 .554310E-01 .708397E-02 .158997E-02 .862168 35 1 34 3 1
